autism,sex,year,pd,diag,py,age,pred,lower,upper,form,obs,pch
autism,f,2015,bpd,5,0.173418480492813,20,36.1694509277358,22.7902087255884,57.4031241295754,36.17 (22.79-57.40),28.8319906032576,4
autism,f,2016,bpd,3,0.176577138945928,20,40.1696995458515,26.2227664549824,61.5344976806362,40.17 (26.22-61.53),16.9897418086419,4
autism,f,2017,bpd,9,0.189826557152635,20,43.9020694291823,27.6403433125017,69.7311056658616,43.90 (27.64-69.73),47.4117011602508,4
autism,f,2018,bpd,6,0.207359069130732,20,47.2172992489197,25.6187230589848,87.0251551269307,47.22 (25.62-87.03),28.9353150800326,4
control,m,2000,bpd,0,0.186974264202601,20,0.00671385706612719,0.0000406157396056185,1.1098130218008,0.01 (0.00-1.11),0,1
control,m,2001,bpd,0,0.277580698151951,20,0.0120120564622134,0.000146997317297799,0.981579141060721,0.01 (0.00-0.98),0,1
control,m,2002,bpd,0,0.39690424366872,20,0.0208297139912565,0.00048852802874499,0.888131201135298,0.02 (0.00-0.89),0,1
control,m,2003,bpd,0,0.568587611225189,20,0.0350082109065505,0.00149034523290052,0.82234290674537,0.04 (0.00-0.82),0,1
control,m,2004,bpd,0,0.778385147159482,20,0.0570265626578003,0.00417143596361136,0.779594575329073,0.06 (0.00-0.78),0,1
control,m,2005,bpd,0,1.02336803559206,20,0.0900337088622485,0.0107043699814939,0.757267241837325,0.09 (0.01-0.76),0,1
control,m,2006,bpd,0,1.36584825462013,20,0.137769713457278,0.025154375483773,0.754560333185167,0.14 (0.03-0.75),0,1
control,m,2007,bpd,0,1.87829808350446,20,0.204325719763833,0.0540329839619204,0.772657674920029,0.20 (0.05-0.77),0,1
control,m,2008,bpd,1,2.32043942505135,20,0.293706114444121,0.105798126857606,0.815357362403639,0.29 (0.11-0.82),0.430952857120099,1
control,m,2009,bpd,2,2.88480698151952,20,0.409188675948127,0.1880730379748,0.890267814712581,0.41 (0.19-0.89),0.693287285011539,1
control,m,2010,bpd,3,3.40524407939769,20,0.552528765468128,0.302301828068727,1.00987823533878,0.55 (0.30-1.01),0.880994116736159,1
control,m,2011,bpd,1,4.11938877481182,20,0.723114129512742,0.439915216621283,1.18862459070408,0.72 (0.44-1.19),0.242754460592441,1
control,m,2012,bpd,1,4.98053080082136,20,0.917232575783415,0.588379120288872,1.42988690296356,0.92 (0.59-1.43),0.200781812218707,1
control,m,2013,bpd,7,5.72027741273105,20,1.12764594180473,0.743092770471408,1.71120675721551,1.13 (0.74-1.71),1.22371687506288,1
control,m,2014,bpd,9,6.37536659822034,20,1.34365174430439,0.907361695455511,1.98972473602809,1.34 (0.91-1.99),1.41168352616967,1
control,m,2015,bpd,11,6.67987173169064,20,1.55174854669923,1.08014739080154,2.2292546116288,1.55 (1.08-2.23),1.6467382072344,1
control,m,2016,bpd,9,6.66020410677615,20,1.73690730803173,1.23615340810233,2.44051181424587,1.74 (1.24-2.44),1.35130993821095,1
control,m,2017,bpd,8,6.77550143737167,20,1.88431109675255,1.30556527542828,2.7196099468715,1.88 (1.31-2.72),1.18072441928421,1
control,m,2018,bpd,16,7.19768733744002,20,1.98129542646907,1.22365436089762,3.20803953501025,1.98 (1.22-3.21),2.22293623630652,1
control,f,2000,bpd,0,0.0680462012320329,20,0.0266766334263759,0.0000371382603779049,19.1619845335735,0.03 (0.00-19.16),0,1
control,f,2001,bpd,0,0.0932934291581109,20,0.0417801085296864,0.000139777853884312,12.4882262836652,0.04 (0.00-12.49),0,1
control,f,2002,bpd,0,0.133972895277207,20,0.0645514545181091,0.000486408735065327,8.56664360652132,0.06 (0.00-8.57),0,1
control,f,2003,bpd,0,0.179493908281999,20,0.0983876136967334,0.00156446534048281,6.18749567564743,0.10 (0.00-6.19),0,1
control,f,2004,bpd,0,0.235945790554415,20,0.147935617209497,0.00464864223254323,4.70781482944573,0.15 (0.00-4.71),0,1
control,f,2005,bpd,0,0.323754551676934,20,0.219433532580982,0.0127520898179063,3.77593601586431,0.22 (0.01-3.78),0,1
control,f,2006,bpd,0,0.424369062286105,20,0.32109324368909,0.0322613750738635,3.19579902923319,0.32 (0.03-3.20),0,1
control,f,2007,bpd,0,0.537924298425736,20,0.463508033916907,0.0751533566697171,2.85868398998718,0.46 (0.08-2.86),0,1
control,f,2008,bpd,1,0.63228932238193,20,0.660056771437152,0.160819982310643,2.70908462530781,0.66 (0.16-2.71),1.58155446344222,1
control,f,2009,bpd,0,0.769314647501712,20,0.927263663391929,0.315031610789986,2.72930674890341,0.93 (0.32-2.73),0,1
control,f,2010,bpd,1,0.887865571526352,20,1.28505914951068,0.562616754416695,2.93517213054418,1.29 (0.56-2.94),1.12629662875752,1
control,f,2011,bpd,1,1.07041601642711,20,1.75687523381131,0.914664698224922,3.37458151951167,1.76 (0.91-3.37),0.9342162156148,1
control,f,2012,bpd,2,1.3024740588638,20,2.36949965269244,1.36604679812909,4.1100558281013,2.37 (1.37-4.11),1.53553921967911,1
control,f,2013,bpd,3,1.51842833675565,20,3.15261040073506,1.92232472785451,5.17027752637591,3.15 (1.92-5.17),1.97572709055861,1
control,f,2014,bpd,7,1.74317980835045,20,4.13791804272455,2.63028433744788,6.50970143589834,4.14 (2.63-6.51),4.0156500014901,1
control,f,2015,bpd,5,1.86217460643396,20,5.35786036788567,3.57144588283737,8.03782800117742,5.36 (3.57-8.04),2.68503285498826,1
control,f,2016,bpd,7,1.88810266940453,20,6.84382386370552,4.79780713505191,9.76236096178933,6.84 (4.80-9.76),3.70742550891455,1
control,f,2017,bpd,14,2.01407227926079,20,8.62390934120959,6.11277854239055,12.1666132364607,8.62 (6.11-12.17),6.95109115207043,1
control,f,2018,bpd,18,2.22591697467489,20,10.7203130322971,6.90171458238373,16.651675484202,10.72 (6.90-16.65),8.08655498151677,1
